Nro.;Codigo;Turno_ID;Descripcion;Hora_Inicio;Hora_Termino;Descanso1;Descanso2;Total_Horas;Refrigerio;H.Efectivas;Inicio_Refrigerio;Fin_Refrigerio;Avail
1267 ;5789 ;IMPORT5789;De 17:00 a 02:00 R60 ;17:00 ;02:00 ;15 ;15 ;09:00 ;60 ;8:00;20:00 ;21:00 ;1
1268 ;5790 ;IMPORT5790;De 17:30 a 02:30 R60 ;17:30 ;02:30 ;15 ;15 ;09:00 ;60 ;8:00;20:30 ;21:30 ;1
1269 ;5791 ;IMPORT5791;De 18:00 a 03:00 R60 ;18:00 ;03:00 ;15 ;15 ;09:00 ;60 ;8:00;21:00 ;22:00 ;1
1270 ;5792 ;IMPORT5792;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;15:05 ;16:05 ;0
1271 ;5793 ;IMPORT5793;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;15 ;15 ;09:00 ;60 ;8:00;14:45 ;15:45 ;1
1272 ;5794 ;IMPORT5794;De 10:00 a 19:30 R60 ;10:00 ;19:30 ;15 ;15 ;09:30 ;60 ;8:30;15:30 ;16:30 ;1
1273 ;5795 ;IMPORT5795;De 09:00 a 19:30 R60 ;09:00 ;19:30 ;15 ;15 ;10:30 ;60 ;9:30;13:00 ;14:00 ;0
1274 ;5796 ;IMPORT5796;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;15 ;15 ;09:00 ;60 ;8:00;12:45 ;13:45 ;1
1275 ;5797 ;IMPORT5797;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;15 ;15 ;09:00 ;60 ;8:00;13:15 ;14:15 ;1
1276 ;5798 ;IMPORT5798;De 06:00 a 17:00 R60 ;06:00 ;17:00 ;30 ;0 ;11:00 ;60 ;10:00;12:50 ;13:50 ;0
1277 ;5799 ;IMPORT5799;De 07:30 a 17:00 R60 ;07:30 ;17:00 ;15 ;15 ;09:30 ;60 ;8:30;12:40 ;13:40 ;1
1278 ;5800 ;IMPORT5800;De 09:00 a 17:00 R60 ;09:00 ;17:00 ;15 ;15 ;08:00 ;60 ;7:00;12:30 ;13:30 ;1
1279 ;5801 ;IMPORT5801;De 09:00 a 18:30 R60 ;09:00 ;18:30 ;15 ;15 ;09:30 ;60 ;8:30;14:15 ;15:15 ;1
1280 ;5802 ;IMPORT5802;De 09:00 a 19:30 R60 ;09:00 ;19:30 ;15 ;15 ;10:30 ;60 ;9:30;13:55 ;14:55 ;0
1281 ;5803 ;IMPORT5803;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;16:20 ;17:20 ;0
1282 ;5804 ;IMPORT5804;De 20:00 a 06:00 R60 ;20:00 ;06:00 ;15 ;15 ;10:00 ;60 ;9:00;00:15 ;01:15 ;0
1283 ;5805 ;IMPORT5805;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;15 ;15 ;09:00 ;60 ;8:00;13:55 ;14:55 ;1
1284 ;5806 ;IMPORT5806;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;16:10 ;17:10 ;0
1285 ;5807 ;IMPORT5807;De 13:30 a 21:30 R60 ;13:30 ;21:30 ;15 ;15 ;08:00 ;60 ;7:00;17:45 ;18:45 ;1
1286 ;5808 ;IMPORT5808;De 10:30 a 18:30 R60 ;10:30 ;18:30 ;15 ;15 ;08:00 ;60 ;7:00;13:30 ;14:30 ;1
1287 ;5809 ;IMPORT5809;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;12:40 ;13:40 ;1
